Country,State,City,Timestamp(UTC),PM2.5,PM10,Ozone,CO,NO2,SO2,US AQI,Main pollutant
India,Delhi,New Delhi,2026-01-01T00:00:00.000Z,163,285,22.8,1200,38.68,9.5,238,PM2.5
India,Delhi,New Delhi,2026-01-01T01:00:00.000Z,154.75,271.82,24.835,1225,35.265,13.135,230,PM2.5
India,Delhi,New Delhi,2026-01-01T02:00:00.000Z,178,259.65,25.005,1220,39.585,12.995,253,PM2.5
India,Delhi,New Delhi,2026-01-01T03:00:00.000Z,142.68,244,20.265,1360,37.39,9,218,PM2.5
India,Delhi,New Delhi,2026-01-01T04:00:00.000Z,172.78,273.25,19.2,1400,35.91,10.34,248,PM2.5
India,Delhi,New Delhi,2026-01-01T05:00:00.000Z,198.12,269.65,19.99,1400,47.4,10.8,273,PM2.5
India,Delhi,New Delhi,2026-01-01T06:00:00.000Z,201.065,284.5,26.1,1400,42.4,10.875,276,PM2.5
India,Delhi,New Delhi,2026-01-01T07:00:00.000Z,213,272,29.82,1400,45.87,12.18,288,PM2.5
India,Delhi,New Delhi,2026-01-01T08:00:00.000Z,210,284.15,34.5,1400,48.48,12.5,285,PM2.5
India,Delhi,New Delhi,2026-01-01T09:00:00.000Z,213.75,299,31.99,1500,49.6,12.335,288,PM2.5
India,Delhi,New Delhi,2026-01-01T10:00:00.000Z,218,317,26.75,1500,53.08,11.7,293,PM2.5
India,Delhi,New Delhi,2026-01-01T11:00:00.000Z,219,314.735,20.2,1860,56.69,14.975,294,PM2.5
India,Delhi,New Delhi,2026-01-01T12:00:00.000Z,212.775,322.125,11.825,2000,56.17,18.6,287,PM2.5
India,Delhi,New Delhi,2026-01-01T13:00:00.000Z,208.49,359,10.6,1970,57.2,21.4,283,PM2.5
India,Delhi,New Delhi,2026-01-01T14:00:00.000Z,220.975,339,12.21,2050,56.2,22.92,296,PM2.5
India,Delhi,New Delhi,2026-01-01T15:00:00.000Z,174.89,283,12.15,1700,49.595,20.48,250,PM2.5
India,Delhi,New Delhi,2026-01-01T16:00:00.000Z,171.07,276.625,15.55,1450,39.795,20.435,246,PM2.5
India,Delhi,New Delhi,2026-01-01T17:00:00.000Z,174.49,284.775,24.1,1355,40.1,20.225,249,PM2.5
India,Delhi,New Delhi,2026-01-01T18:00:00.000Z,124.125,239,22.2,1370,24.7,17.25,199,PM2.5
India,Delhi,New Delhi,2026-01-01T19:00:00.000Z,78,132,21.26,1100,32.24,10.65,167,PM2.5
India,Delhi,New Delhi,2026-01-01T20:00:00.000Z,61,101,17.62,785,43.34,14.22,155,PM2.5
India,Delhi,New Delhi,2026-01-01T21:00:00.000Z,67,97,20.75,1065,32.735,6.7,159,PM2.5
India,Delhi,New Delhi,2026-01-01T22:00:00.000Z,67,100.25,17.6,865,34.9,10.9,159,PM2.5
India,Delhi,New Delhi,2026-01-01T23:00:00.000Z,66.77,96,14.2,1000,31.99,11.4,159,PM2.5
India,Delhi,New Delhi,2026-01-02T00:00:00.000Z,64.05,101.3,10,1150,27,17.58,157,PM2.5
India,Delhi,New Delhi,2026-01-02T01:00:00.000Z,59.485,109.1,9.99,1300,35.54,17.13,154,PM2.5
India,Delhi,New Delhi,2026-01-02T02:00:00.000Z,67.5,131.25,10.65,1300,38.345,14.425,159,PM2.5
India,Delhi,New Delhi,2026-01-02T03:00:00.000Z,78.195,121.275,18.4,1310,35.65,16.5,167,PM2.5
India,Delhi,New Delhi,2026-01-02T04:00:00.000Z,71.2,124.2,25.95,1080,34.92,16.38,162,PM2.5
India,Delhi,New Delhi,2026-01-02T05:00:00.000Z,71.5,118,32.7,870,28.54,10.99,162,PM2.5
India,Delhi,New Delhi,2026-01-02T06:00:00.000Z,68.125,112,41.3,765,26,12.77,160,PM2.5
India,Delhi,New Delhi,2026-01-02T07:00:00.000Z,72,118.81,44.5,875,29.6,13.1,163,PM2.5
India,Delhi,New Delhi,2026-01-02T08:00:00.000Z,74.62,121.715,34.14,880,30.81,12.315,164,PM2.5
India,Delhi,New Delhi,2026-01-02T09:00:00.000Z,79.42,134.5,38.42,870,30.85,11.16,168,PM2.5
India,Delhi,New Delhi,2026-01-02T10:00:00.000Z,83,147.485,31.6,850,39.015,13.93,170,PM2.5
India,Delhi,New Delhi,2026-01-02T11:00:00.000Z,88,143.98,30.98,915,41.775,14.055,174,PM2.5
India,Delhi,New Delhi,2026-01-02T12:00:00.000Z,95,149.565,22.64,1020,46.095,12.365,179,PM2.5
India,Delhi,New Delhi,2026-01-02T13:00:00.000Z,94.5,170.84,14.895,1480,55.215,14.35,178,PM2.5
India,Delhi,New Delhi,2026-01-02T14:00:00.000Z,116.75,197.53,12.665,1630,50.41,15.2,194,PM2.5
India,Delhi,New Delhi,2026-01-02T15:00:00.000Z,109.78,197,12.39,1600,54.1,19.91,189,PM2.5
India,Delhi,New Delhi,2026-01-02T16:00:00.000Z,115.1,200,12.22,1155,52.1,18.1,193,PM2.5
India,Delhi,New Delhi,2026-01-02T17:00:00.000Z,109.175,177,16.495,1140,45.42,13.075,189,PM2.5
India,Delhi,New Delhi,2026-01-02T18:00:00.000Z,116.75,183.775,10.675,1245,43.985,12.585,194,PM2.5
India,Delhi,New Delhi,2026-01-02T19:00:00.000Z,109.75,178.25,10.455,1330,42.625,12.15,189,PM2.5
India,Delhi,New Delhi,2026-01-02T20:00:00.000Z,119.125,192.64,9.19,1290,42.7,13.45,196,PM2.5
India,Delhi,New Delhi,2026-01-02T21:00:00.000Z,116.405,181.06,10,1295,37.005,14.855,194,PM2.5
India,Delhi,New Delhi,2026-01-02T22:00:00.000Z,107.38,186,9.47,1300,39.97,18.15,187,PM2.5
India,Delhi,New Delhi,2026-01-02T23:00:00.000Z,118,199.86,11.4,1180,44.995,18.55,195,PM2.5
India,Delhi,New Delhi,2026-01-03T00:00:00.000Z,129.7,202,11.585,1150,42.365,17.68,205,PM2.5
India,Delhi,New Delhi,2026-01-03T01:00:00.000Z,138.125,223,14.405,1200,43.36,17.77,213,PM2.5
India,Delhi,New Delhi,2026-01-03T02:00:00.000Z,134.73,221,12.035,1305,45.575,14.61,210,PM2.5
India,Delhi,New Delhi,2026-01-03T03:00:00.000Z,119.1,207.55,13.18,1200,49.2,11.75,196,PM2.5
India,Delhi,New Delhi,2026-01-03T04:00:00.000Z,117.505,205.5,15.01,1200,47.2,12.6,194,PM2.5
India,Delhi,New Delhi,2026-01-03T05:00:00.000Z,125,233,22.77,1000,39.01,11.33,200,PM2.5
India,Delhi,New Delhi,2026-01-03T06:00:00.000Z,116.1,206.8,37.88,900,38.95,10.1,193,PM2.5
India,Delhi,New Delhi,2026-01-03T07:00:00.000Z,105,158.65,40.72,940,39.96,11.72,186,PM2.5
India,Delhi,New Delhi,2026-01-03T08:00:00.000Z,106.99,168.265,42.9,800,47.1,14.29,187,PM2.5
India,Delhi,New Delhi,2026-01-03T09:00:00.000Z,111,168,42.265,800,43.055,16.285,190,PM2.5
